sku,name,price,color,category,gender,fabric,description,stock_count,sizes,image_urls,video_urls
SKU-SAR-001,Royal Banarasi Silk Saree,6500.0,Red,Sarees,Female,Pure Banarasi Silk,Elegant handwoven silk saree with traditional gold zari borders.,15,"S,M,L",https://images.closely.ai/sar-001.jpg,
SKU-SAR-002,Classic Kanjeevaram Saree,8500.0,Gold,Sarees,Female,Pure Kanjeevaram Silk,Golden bridal wear saree with traditional patterns and rich pallu.,8,"S,M,L",https://images.closely.ai/sar-002.jpg,
SKU-SAR-003,Pastel Organza Saree,2999.0,Pink,Sarees,Female,Organza Silk,"Light-weight, sheer floral printed organza saree for festive wear.",25,Free Size,https://images.closely.ai/sar-003.jpg,
SKU-SAR-004,Black Georgette Saree,2499.0,Black,Sarees,Female,Georgette,Chic black saree with subtle sequin embroidery border.,0,Free Size,https://images.closely.ai/sar-004.jpg,
SKU-KUR-001,Daily Cotton Kurti,999.0,Blue,Kurtis,Female,100% Cotton,Casual wear straight-cut cotton kurti with floral patterns.,50,"S,M,L,XL,XXL",https://images.closely.ai/kur-001.jpg,
SKU-KUR-002,Embroidered Georgette Kurta,1899.0,White,Kurtis,Female,Georgette,Festive straight kurta with intricate white chikankari handwork.,30,"S,M,L,XL",https://images.closely.ai/kur-002.jpg,
SKU-SUIT-001,Anarkali Salwar Suit,3499.0,Yellow,Salwar Suits,Female,Cotton Blend,Flared Anarkali suit set with heavy block printed dupatta and slim pants.,12,"M,L,XL",https://images.closely.ai/suit-001.jpg,
SKU-SUIT-002,Chanderi Silk Suit Set,4200.0,Green,Salwar Suits,Female,Chanderi Silk,Traditional salwar suit set with gold thread zari embroidery.,18,"S,M,L,XL",https://images.closely.ai/suit-002.jpg,
SKU-LEH-001,Designer Bridal Lehenga,15999.0,Maroon,Lehengas,Female,Velvet,Heavy designer bridal lehenga choli set with detailed stone and zari embroidery.,5,"M,L",https://images.closely.ai/leh-001.jpg,
SKU-LEH-002,Floral Georgette Lehenga,5500.0,Peach,Lehengas,Female,Georgette,"Lightweight, easy-to-wear printed lehenga choli for bridesmaids.",15,"S,M,L",https://images.closely.ai/leh-002.jpg,
